app,kind,route,file
api,api-route,/copilot/command,apps/api/app/copilot/command/route.ts
api,api-route,/cron/keep-alive,apps/api/app/cron/keep-alive/route.ts
api,api-route,/cron/routines,apps/api/app/cron/routines/route.ts
api,api-route,/health,apps/api/app/health/route.ts
api,api-route,/mapa-os,apps/api/app/mapa-os/route.ts
api,api-route,/mcp,apps/api/app/mcp/route.ts
api,api-route,/notifications/register-device,apps/api/app/notifications/register-device/route.ts
api,api-route,/now,apps/api/app/now/route.ts
api,api-route,/now/advance,apps/api/app/now/advance/route.ts
api,api-route,/projects,apps/api/app/projects/route.ts
api,api-route,/reports,apps/api/app/reports/route.ts
api,api-route,/reports/generate,apps/api/app/reports/generate/route.ts
api,api-route,/scanner/dispatch,apps/api/app/scanner/dispatch/route.ts
api,api-route,/scanner/symbols,apps/api/app/scanner/symbols/route.ts
api,api-route,/scanner/undo,apps/api/app/scanner/undo/route.ts
api,api-route,/webhooks/auth,apps/api/app/webhooks/auth/route.ts
api,api-route,/webhooks/gmail,apps/api/app/webhooks/gmail/route.ts
api,api-route,/webhooks/outlook,apps/api/app/webhooks/outlook/route.ts
api,api-route,/webhooks/payments,apps/api/app/webhooks/payments/route.ts
api,api-route,/webhooks/whatsapp,apps/api/app/webhooks/whatsapp/route.ts
app,page,/,apps/app/app/(authenticated)/page.tsx
app,page,/admin/dashboard,apps/app/app/(authenticated)/admin/dashboard/page.tsx
app,page,/automations,apps/app/app/(authenticated)/automations/page.tsx
app,page,/calendar,apps/app/app/(authenticated)/calendar/page.tsx
app,page,/copilot,apps/app/app/(authenticated)/copilot/page.tsx
app,page,/integrations,apps/app/app/(authenticated)/integrations/page.tsx
app,page,/mapa-os,apps/app/app/(authenticated)/mapa-os/page.tsx
app,page,/now,apps/app/app/(authenticated)/now/page.tsx
app,page,/overview,apps/app/app/(authenticated)/overview/page.tsx
app,page,/projects,apps/app/app/(authenticated)/projects/page.tsx
app,page,/projects/[projectId],apps/app/app/(authenticated)/projects/[projectId]/page.tsx
app,page,/projects/remix,apps/app/app/(authenticated)/projects/remix/page.tsx
app,page,/reports,apps/app/app/(authenticated)/reports/page.tsx
app,page,/roadmap,apps/app/app/(authenticated)/roadmap/page.tsx
app,page,/search,apps/app/app/(authenticated)/search/page.tsx
app,page,/settings/billing,apps/app/app/(authenticated)/settings/billing/page.tsx
app,page,/settings/privacy,apps/app/app/(authenticated)/settings/privacy/page.tsx
app,page,/sign-in/[[...sign-in]],apps/app/app/(unauthenticated)/sign-in/[[...sign-in]]/page.tsx
app,page,/sign-up/[[...sign-up]],apps/app/app/(unauthenticated)/sign-up/[[...sign-up]]/page.tsx
app,page,/sprint,apps/app/app/(authenticated)/sprint/page.tsx
app,page,/today,apps/app/app/(authenticated)/today/page.tsx
app,page,/tomorrow,apps/app/app/(authenticated)/tomorrow/page.tsx
app,page,/webhooks,apps/app/app/(authenticated)/webhooks/page.tsx
app,page,/workflows,apps/app/app/(authenticated)/workflows/page.tsx
app,page,/yesterday,apps/app/app/(authenticated)/yesterday/page.tsx
mobile,screen,/copilot,apps/mobile/app/(tabs)/copilot.tsx
mobile,screen,/index,apps/mobile/app/(tabs)/index.tsx
mobile,screen,/mapa-os,apps/mobile/app/(tabs)/mapa-os.tsx
mobile,screen,/projects,apps/mobile/app/(tabs)/projects.tsx
mobile,screen,/reports,apps/mobile/app/(tabs)/reports.tsx
mobile,screen,/scanner,apps/mobile/app/(tabs)/scanner.tsx
mobile,screen,/settings,apps/mobile/app/(tabs)/settings.tsx
mobile,screen,/sign-in,apps/mobile/app/(auth)/sign-in.tsx
mobile,screen,/sign-up,apps/mobile/app/(auth)/sign-up.tsx
web,page,/[locale]/(home),apps/web/app/[locale]/(home)/page.tsx
web,page,/[locale]/blog,apps/web/app/[locale]/blog/page.tsx
web,page,/[locale]/blog/[slug],apps/web/app/[locale]/blog/[slug]/page.tsx
web,page,/[locale]/contact,apps/web/app/[locale]/contact/page.tsx
web,page,/[locale]/legal/[slug],apps/web/app/[locale]/legal/[slug]/page.tsx
web,page,/[locale]/pricing,apps/web/app/[locale]/pricing/page.tsx
